States/UTs,Registered Motor Vehicles per 1000 Population - 2010,Registered Motor Vehicles per 1000 Population - 2011
Andhra Pradesh,106,120
Arunachal Pradesh,18,105
Assam,46,51
Bihar,24,26
Chhattisgarh,102,108
Goa,424,542
Gujarat,204,215
Haryana,192,212
Himachal Pradesh,80,91
Jammu and Kashmir,64,74
Jharkhand,89,94
Karnataka,154,162
Kerala,157,182
Madhya Pradesh,93,101
Maharashtra,142,155
Manipur,80,76
Meghalaya,61,59
Mizoram,81,85
Nagaland,114,138
Odisha,73,80
Punjab,193,190
Rajasthan,107,116
Sikkim,56,64
Tamil Nadu,210,217
Tripura,45,51
Uttarakhand,85,99
Uttar Pradesh,61,67
West Bengal,31,36
Andaman and Nicobar Islands,129,182
Chandigarh,694,956
Dadra and Nagar Haveli,204,223
Daman and Diu,279,319
Delhi,376,431
Lakshadweep,105,136
Puducherry,450,541
